"","Participant","Age","Ethnicity","OtherEthnicity","Gender","Experiment","Language"
"1","s.bcdf5496-ab10-4ed0-b355-7ed7db32a9e5.txt",21,"Denmark","",1,"SoccultExamDan.2021-05-14-1017.data.bcdf5496-ab10-4ed0-b355-7ed7db32a9e5.txt","Danish"
"2","s.7b96f888-88d0-46b1-812d-f10aa7113948.txt",20,"Denmark","",0,"SoccultExamDan.2021-05-13-1015.data.7b96f888-88d0-46b1-812d-f10aa7113948.txt","Danish"
"3","s.b4ca87bb-eccf-4d27-a46b-1ae79ad7cab2.txt",21,"Denmark","",0,"SoccultExamDan.2021-05-12-2333.data.b4ca87bb-eccf-4d27-a46b-1ae79ad7cab2.txt","Danish"
"4","s.3a17cb1c-72da-44f0-86ab-54c8e4721d56.txt",23,"Denmark","",0,"SoccultExamDan.2021-05-12-2352.data.3a17cb1c-72da-44f0-86ab-54c8e4721d56.txt","Danish"
"5","s.688c3dbd-393b-4896-9412-e57a1879f78b.txt",25,"Denmark","",1,"SoccultExamDan.2021-05-14-1120.data.688c3dbd-393b-4896-9412-e57a1879f78b.txt","Danish"
"6","s.26a34c00-9693-4e6f-bbf0-5f00341100e9.txt",22,"Denmark","",1,"SoccultExamDan.2021-05-14-1907.data.26a34c00-9693-4e6f-bbf0-5f00341100e9.txt","Danish"
"7","s.8030da60-12a4-4a97-84bb-7e2ccf3adc57.txt",22,"Ungarn","Ungarn",0,"SoccultExamDan.2021-05-14-1026.data.8030da60-12a4-4a97-84bb-7e2ccf3adc57.txt","Danish"
"8","s.ed780bc0-f8f7-4711-abad-0d16232e6f5a.txt",23,"Denmark","",1,"SoccultExamDan.2021-05-14-1026.data.ed780bc0-f8f7-4711-abad-0d16232e6f5a.txt","Danish"
"9","s.51038441-4429-48b0-ae3b-f2ab6a661e6a.txt",20,"Denmark","",0,"SoccultExamDan.2021-05-13-1516.data.51038441-4429-48b0-ae3b-f2ab6a661e6a.txt","Danish"
"10","s.880f1501-d5c5-4405-8522-19bc60d37bf2.txt",21,"Denmark","",1,"SoccultExamDan.2021-05-14-1034.data.880f1501-d5c5-4405-8522-19bc60d37bf2.txt","Danish"
"11","s.6782f278-ca19-4aa7-86df-a62ca0eda117.txt",25,"Denmark","",1,"SoccultExamDan.2021-05-13-1157.data.6782f278-ca19-4aa7-86df-a62ca0eda117.txt","Danish"
"12","s.40f6a1f3-7a2d-48a9-9237-c16b80d02e66.txt",21,"Denmark","",0,"SoccultExamDan.2021-05-14-2029.data.40f6a1f3-7a2d-48a9-9237-c16b80d02e66.txt","Danish"
"13","s.eed89846-4853-4c3b-b1ad-2c0fd80fb5ee.txt",20,"Denmark","",1,"SoccultExamDan.2021-05-14-1353.data.eed89846-4853-4c3b-b1ad-2c0fd80fb5ee.txt","Danish"
"14","s.d465a015-8548-4032-bc16-de5263430b14.txt",24,"Denmark","",1,"SoccultExamDan.2021-05-14-1026.data.d465a015-8548-4032-bc16-de5263430b14.txt","Danish"
"15","s.23e4b411-85eb-472d-b542-fe679d671c8c.txt",22,"Denmark","",0,"SoccultExamDan.2021-05-13-2110.data.23e4b411-85eb-472d-b542-fe679d671c8c.txt","Danish"
"16","s.457f3882-9e41-41e1-8f43-3c1675586cde.txt",21,"Denmark","",0,"SoccultExamDan.2021-05-14-1128.data.457f3882-9e41-41e1-8f43-3c1675586cde.txt","Danish"
"17","s.d32662e0-2c41-4c39-8508-e974f226dd2b.txt",20,"Denmark","",1,"SoccultExamDan.2021-05-14-1731.data.d32662e0-2c41-4c39-8508-e974f226dd2b.txt","Danish"
"18","s.cb0ac57e-e1f7-48ea-80ec-bbfc0d8e1be7.txt",22,"Denmark","",0,"SoccultExamDan.2021-05-14-1437.data.cb0ac57e-e1f7-48ea-80ec-bbfc0d8e1be7.txt","Danish"
"19","s.27998d17-5e90-4cab-a229-fff00665e1f2.txt",30,"USA","USA",0,"SoccultExam.2021-05-12-2045.data.27998d17-5e90-4cab-a229-fff00665e1f2.txt","English"
"20","s.53cba792-e0da-42f6-a8e9-48ee4d1b3487.txt",25,"Austria","Austria",1,"SoccultExam.2021-05-13-1529.data.53cba792-e0da-42f6-a8e9-48ee4d1b3487.txt","English"
"21","s.4ba32934-f771-4ae1-bec7-42a146772a46.txt",27,"Denmark","",1,"SoccultExam.2021-05-12-1852.data.4ba32934-f771-4ae1-bec7-42a146772a46.txt","English"
